CO210P40,nanE-6,nanE-6,nan,nan,2021-08-20 15:40:32
CO210P40,nanE-6,nanE-6,nan,nan,2021-08-20 15:40:32
CO210P38,0.326032E-6,30551.262793E-6,5.964028765780046,7.316890723514902,2021-08-20 15:41:00
CO210P36,nanE-6,nanE-6,nan,nan,2021-08-20 15:41:23
CO210P36,nanE-6,nanE-6,nan,nan,2021-08-20 15:41:23
CO210P34,nanE-6,nanE-6,nan,nan,2021-08-20 15:41:42
CO210P34,nanE-6,nanE-6,nan,nan,2021-08-20 15:41:42
CO210P32,nanE-6,nanE-6,nan,nan,2021-08-20 15:42:01
CO210P32,nanE-6,nanE-6,nan,nan,2021-08-20 15:42:01
CO210P30,nanE-6,nanE-6,nan,nan,2021-08-20 15:42:21
CO210P30,nanE-6,nanE-6,nan,nan,2021-08-20 15:42:21
CO210P28,nanE-6,nanE-6,nan,nan,2021-08-20 15:42:40
CO210P28,nanE-6,nanE-6,nan,nan,2021-08-20 15:42:40
CO210P26,nanE-6,nanE-6,nan,nan,2021-08-20 15:43:01
CO210P26,nanE-6,nanE-6,nan,nan,2021-08-20 15:43:01
CO210P24,nanE-6,nanE-6,nan,nan,2021-08-20 15:43:21
CO210P24,nanE-6,nanE-6,nan,nan,2021-08-20 15:43:21
CO210P22,nanE-6,nanE-6,nan,nan,2021-08-20 15:43:39
CO210P22,nanE-6,nanE-6,nan,nan,2021-08-20 15:43:39
CO210P20,nanE-6,nanE-6,nan,nan,2021-08-20 15:43:56
CO210P20,nanE-6,nanE-6,nan,nan,2021-08-20 15:43:56
CO210P18,nanE-6,nanE-6,nan,nan,2021-08-20 15:44:13
CO210P18,nanE-6,nanE-6,nan,nan,2021-08-20 15:44:13
CO210P16,nanE-6,nanE-6,nan,nan,2021-08-20 15:44:30
CO210P16,nanE-6,nanE-6,nan,nan,2021-08-20 15:44:30
CO210P14,nanE-6,nanE-6,nan,nan,2021-08-20 15:44:49
CO210P14,nanE-6,nanE-6,nan,nan,2021-08-20 15:44:49
CO210P12,0.545407E-6,24065.518371E-6,5.94835403418615,7.265519799979744,2021-08-20 15:45:15
O1810P32,0.473448E-6,31619.276209E-6,5.885401376197919,7.04900567269179,2021-08-20 15:45:36
CO210P10,nanE-6,nanE-6,nan,nan,2021-08-20 15:46:00
CO210P10,nanE-6,nanE-6,nan,nan,2021-08-20 15:46:00
O1810P30,0.496980E-6,24024.935852E-6,6.00988919292354,7.279478486185381,2021-08-20 15:46:11
CO210P08,nanE-6,nanE-6,nan,nan,2021-08-20 15:46:15
CO210P08,nanE-6,nanE-6,nan,nan,2021-08-20 15:46:15
O1810P28,0.518482E-6,24647.977932E-6,6.085030148521835,7.351352726700206,2021-08-20 15:46:37
C1310P22,nanE-6,nanE-6,nan,nan,2021-08-20 15:46:42
C1310P22,nanE-6,nanE-6,nan,nan,2021-08-20 15:46:42
CO210P06,0.583057E-6,29098.718661E-6,5.96598506986925,7.159160316619281,2021-08-20 15:46:53
O1810P26,0.538010E-6,16489.100304E-6,6.202891909304594,7.291559133956781,2021-08-20 15:47:03
CO210R04,0.617271E-6,10836.570146E-6,6.032866582682005,7.262185094683294,2021-08-20 15:47:21
O1810P24,0.540337E-6,18534.608340E-6,6.196620937667258,7.586752444621036,2021-08-20 15:47:31
CO210R06,0.620540E-6,17500.321618E-6,5.94628809422256,7.1545678071634065,2021-08-20 15:48:55
C1310P20,nanE-6,nanE-6,nan,nan,2021-08-20 15:48:58
C1310P20,nanE-6,nanE-6,nan,nan,2021-08-20 15:48:58
O1810P22,0.548477E-6,7719.653455E-6,6.084113257587334,7.460512501300487,2021-08-20 15:49:09
