O1810P36,nanE-6,nanE-6,nan,nan,2021-08-15 16:16:35
C1310P18,1.226168E-6,2194.611200E-6,7.588687208740242,9.1897925162197,2021-08-15 16:24:41
O1810R14,2.459492E-6,961.847486E-6,8.42761080548669,10.1151365229687,2021-08-15 16:24:52
CO210P08,2.234887E-6,5994.851444E-6,6.09300114925327,7.544394590583339,2021-08-15 16:25:02
O1810R16,2.438788E-6,504.885215E-6,8.273624487909434,10.010527017443511,2021-08-15 16:25:18
CO210P06,2.264872E-6,2881.709667E-6,6.6407241324790816,8.190180330346301,2021-08-15 16:25:29
O1810R18,2.524342E-6,1443.830660E-6,8.008747858970372,9.690823109907306,2021-08-15 16:25:45
C1310P16,1.246934E-6,4549.242101E-6,7.065978217241644,8.531648794725971,2021-08-15 16:25:59
CO210R04,2.021326E-6,1416.047327E-6,7.02913325932059,8.401581148989864,2021-08-15 16:26:13
O1810R20,2.546991E-6,321.090419E-6,8.037366984316993,9.618890769440128,2021-08-15 16:26:25
C1310P14,1.276309E-6,1498.758611E-6,7.8186134996994525,9.521527571638005,2021-08-15 16:26:36
CO210R06,1.698250E-6,1003.284895E-6,6.534708422710434,7.964030899206521,2021-08-15 16:26:50
O1810R22,2.563842E-6,1192.896211E-6,7.649819220542711,9.302368568698691,2021-08-15 16:27:01
C1310P12,1.299421E-6,1023.975181E-6,7.270873791966749,8.981592545595122,2021-08-15 16:27:12
CO210R08,1.837895E-6,1265.721395E-6,8.831683853429983,10.292280123125005,2021-08-15 16:27:23
O1810R24,2.476710E-6,438.806193E-6,8.125588088625673,9.81604417553469,2021-08-15 16:27:34
CO210R10,2.406737E-6,440.712513E-6,8.097164666834656,9.462528290779286,2021-08-15 16:27:52
O1810R26,2.575323E-6,418.912065E-6,7.903458548880333,9.481414065450807,2021-08-15 16:28:03
CO210R12,1.862500E-6,457.476025E-6,8.046496103820578,9.464230922771707,2021-08-15 16:28:16
O1810R28,2.363296E-6,1633.256602E-6,8.230606957268224,10.101647776434168,2021-08-15 16:28:28
CO210R14,2.168226E-6,279.962178E-6,8.864765072436354,9.99778881486867,2021-08-15 16:28:42
O1810R30,2.548660E-6,592.165975E-6,7.114033842270158,8.5996878031154,2021-08-15 16:28:52
CO210R16,2.210063E-6,401.936647E-6,8.181429983034278,9.526635088266952,2021-08-15 16:29:08
O1810R32,2.529629E-6,347.883183E-6,7.479800159682276,8.69953835055396,2021-08-15 16:29:17
C1310P10,1.257110E-6,1925.561259E-6,6.465914028438465,7.886945437090417,2021-08-15 16:29:25
CO210R18,2.492487E-6,447.826059E-6,8.39529165106678,9.7479241166182,2021-08-15 16:29:38
O1810R34,2.557157E-6,2184.417148E-6,6.096973719469579,7.541777799417491,2021-08-15 16:29:47
CO210R20,1.047228E-6,4108.136157E-6,7.087877404462759,8.52823219113134,2021-08-15 16:30:05
CO210R22,2.376022E-6,360.655192E-6,8.564988351776304,9.976821086402861,2021-08-15 16:30:36
CO210R24,2.540580E-6,907.383103E-6,8.120538449113184,9.472616216784306,2021-08-15 16:31:05
CO210R26,2.551173E-6,344.036483E-6,8.301850182713908,9.819355811063685,2021-08-15 16:31:34
C1310P08,1.371412E-6,2734.447991E-6,6.896441224863083,8.545460375155978,2021-08-15 16:31:49
CO210R28,2.576729E-6,2014.021755E-6,8.271412061105195,9.70588615695128,2021-08-15 16:32:02
CO210R30,2.493051E-6,1016.502297E-6,8.401297947162817,9.814970465603524,2021-08-15 16:32:33
CO210R32,2.577417E-6,721.676013E-6,8.280919673179152,9.735730168062531,2021-08-15 16:33:02
CO210R34,2.498857E-6,474.210324E-6,8.358843007629039,9.77246958588459,2021-08-15 16:33:32
CO210R36,2.570469E-6,550.694165E-6,8.275532101892388,9.702422526399499,2021-08-15 16:34:02
CO210R38,2.501961E-6,456.142288E-6,7.328391861820795,8.713799484831238,2021-08-15 16:34:31
C1310P06,1.188618E-6,3070.011889E-6,6.790209898536111,8.522121868485328,2021-08-15 16:34:39
CO210R40,2.500985E-6,679.900915E-6,7.229144526927619,8.784014156663433,2021-08-15 16:34:58
C1310R06,1.655626E-6,411.152804E-6,7.428719000688672,8.839300669350694,2021-08-15 16:35:12
CO209P42,1.231175E-6,2543.735588E-6,6.836984785530384,8.441027682446432,2021-08-15 16:35:27
C1310R08,1.754866E-6,1440.392282E-6,7.337999444003465,9.121364198149783,2021-08-15 16:35:39
CO209P40,0.897065E-6,2701.492410E-6,6.843186136909211,8.391431209586182,2021-08-15 16:35:51
O1809P44,0.690576E-6,12857.364775E-6,7.497342690516923,9.151162882707437,2021-08-15 16:36:03
C1310R10,1.616005E-6,605.934767E-6,7.23191432775541,8.891863433339303,2021-08-15 16:36:15
O1809P42,0.675610E-6,5815.839114E-6,11.901295907969738,13.792471633755163,2021-08-15 16:36:26
C1310R12,1.777805E-6,784.328478E-6,8.401246530654861,9.714282928279104,2021-08-15 16:36:37
CO209P38,0.955838E-6,7471.203242E-6,6.745536120045023,8.254889104768882,2021-08-15 16:36:49
O1809P40,0.668501E-6,5727.001029E-6,14.288403904504465,16.432667649447602,2021-08-15 16:37:02
C1310R14,1.809905E-6,5141.805320E-6,8.328477474430558,10.138495717421565,2021-08-15 16:37:14
O1809P38,0.677558E-6,3930.212047E-6,14.576333661980666,16.3435927104587,2021-08-15 16:37:27
C1310R16,1.812685E-6,1114.387706E-6,6.812858809609255,8.528509305159991,2021-08-15 16:37:38
CO209P36,1.054289E-6,8449.004844E-6,7.192887772094774,8.616143709494384,2021-08-15 16:37:49
O1809P36,0.662999E-6,4001.427726E-6,13.825041814191565,15.694387609167666,2021-08-15 16:38:05
C1310R18,1.379338E-6,7908.958071E-6,8.075518681526423,9.943474415802227,2021-08-15 16:38:15
CO209P34,0.908696E-6,8504.865873E-6,7.188198241625203,8.671141655596317,2021-08-15 16:38:27
O1809P34,0.630527E-6,13035.834696E-6,15.251341017061481,17.271156235896427,2021-08-15 16:38:45
C1310R20,1.542301E-6,871.895014E-6,7.192799780755886,8.679197515654732,2021-08-15 16:38:56
CO209P32,0.915290E-6,5554.798851E-6,7.395959181133583,8.716250617867574,2021-08-15 16:39:08
O1809P32,0.685269E-6,4089.665926E-6,13.791322267474746,15.447971480623139,2021-08-15 16:39:20
