//Fitting algorithm output. V. 0.1	maxIter=5000	start_lambda=1e-05	up_factor=10	down_factor=0.8	target_derr=0.0001	multlimit=1e+07
"2021-08-15_10h09m32s_O1810R08.txt"	0	-nan(ind)	nan		nan	nan	nan	nan	0	0.031393
"2021-08-15_10h09m32s_O1810R08.txt.bin"	0	-nan(ind)	nan		nan	nan	nan	nan	0	3.9e-05
"2021-08-15_10h08m11s_O1810P12.txt.bin"	500	3.31863e-06	0.000424983		3.31503e-06	3.32232e-06	-0.000141518	0.0295166	0	2.85136
"2021-08-15_10h08m47s_O1810P10.txt.bin"	500	3.366e-06	0.00133138		3.35867e-06	3.37364e-06	-0.000141063	0.0298523	0	2.92018
"2021-08-15_10h09m02s_CO210R04.txt.bin"	500	3.52821e-06	0.000349636		3.52517e-06	3.53203e-06	-0.000140573	0.028424	0	3.08348
"2021-08-15_10h09m12s_O1810P08.txt.bin"	500	3.42271e-06	0.000306193		3.41935e-06	3.42566e-06	-0.000143711	0.0273186	0	2.87296
"2021-08-15_10h09m29s_CO210R06.txt.bin"	500	3.57033e-06	0.000548669		3.56649e-06	3.57463e-06	-0.000117851	0.0248898	0	2.95205
"2021-08-15_10h10m02s_CO210R08.txt.bin"	500	3.62388e-06	0.000285781		3.62014e-06	3.62659e-06	-0.000149554	0.0304431	0	3.1785
"2021-08-15_10h10m13s_O1810R10.txt.bin"	500	3.87565e-06	0.000845676		3.87013e-06	3.88092e-06	-0.000160141	0.0288318	0	3.10845
"2021-08-15_10h10m52s_C1310P18.txt.bin"	500	1.80346e-06	0.00092607		1.80004e-06	1.80716e-06	-7.07503e-05	0.0441075	0	2.17382
"2021-08-15_10h10m29s_CO210R10.txt.bin"	500	3.70224e-06	0.000345389		3.69876e-06	3.70568e-06	-0.000135495	0.0263894	0	3.17065
"2021-08-15_10h10m40s_O1810R12.txt.bin"	500	3.91073e-06	0.000376061		3.90747e-06	3.91417e-06	-0.000152731	0.0259221	0	3.12539
"2021-08-15_10h11m03s_O1810R14.txt.bin"	500	3.95995e-06	0.000537905		3.95464e-06	3.96546e-06	-0.000137776	0.0242161	0	3.1786
"2021-08-15_10h11m39s_C1310P16.txt.bin"	500	1.8294e-06	0.00267295		1.82239e-06	1.83619e-06	-6.19102e-05	0.0375699	0	1.99495
"2021-08-15_10h11m15s_CO210R12.txt.bin"	500	3.74635e-06	0.000370237		3.7424e-06	3.7497e-06	-0.000150165	0.0287988	0	3.25901
"2021-08-15_10h11m27s_O1810R16.txt.bin"	500	4.00049e-06	0.000299832		3.99743e-06	4.00399e-06	-0.000153808	0.0272724	0	3.25288
